time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max
2022-01-01,31.1,23.9,0.0,13.5
2022-01-02,31.7,24.1,0.0,15.7
2022-01-03,31.5,24.6,0.0,17.5
2022-01-04,31.2,24.0,0.0,17.7
2022-01-05,29.9,23.7,0.0,14.8
2022-01-06,30.5,24.5,0.4,16.8
2022-01-07,30.2,24.0,0.7,17.7
2022-01-08,31.1,24.0,0.6,15.8
2022-01-09,29.9,23.5,0.5,15.1
2022-01-10,29.7,24.6,0.0,14.4
2022-01-11,30.5,24.2,0.0,13.8
2022-01-12,30.2,24.2,0.0,19.5
2022-01-13,30.3,23.5,0.0,20.1
2022-01-14,30.8,24.1,0.0,21.2
2022-01-15,31.2,24.1,0.0,18.1
2022-01-16,31.9,24.6,0.0,20.0
2022-01-17,32.0,24.5,0.0,16.4
2022-01-18,31.7,24.6,0.3,20.6
2022-01-19,30.0,23.7,0.5,20.7
2022-01-20,29.6,23.8,0.2,15.8
2022-01-21,30.0,23.9,0.2,19.6
2022-01-22,29.5,23.5,0.0,21.5
2022-01-23,29.7,22.8,0.1,23.3
2022-01-24,29.8,23.1,0.0,22.2
2022-01-25,29.7,23.5,0.0,24.8
2022-01-26,29.2,22.6,0.6,23.4
2022-01-27,29.8,23.3,0.5,19.8
2022-01-28,30.1,23.5,0.1,20.0
2022-01-29,31.0,23.5,0.1,24.6
2022-01-30,31.5,24.5,0.0,19.1
2022-01-31,30.6,24.9,0.0,17.7
2022-02-01,31.3,24.8,1.6,20.5
2022-02-02,29.9,24.4,1.8,17.1
2022-02-03,29.8,24.0,0.5,15.2
2022-02-04,30.1,23.1,0.0,22.5
2022-02-05,29.8,23.0,0.0,20.8
2022-02-06,29.5,23.6,0.1,20.0
2022-02-07,30.9,23.6,0.0,19.9
2022-02-08,30.4,24.2,0.0,17.6
2022-02-09,31.0,23.8,1.5,20.7
2022-02-10,31.2,24.3,0.0,18.8
2022-02-11,30.9,24.5,0.0,21.1
2022-02-12,29.8,23.8,1.8,15.7
2022-02-13,29.1,23.9,1.1,17.1
2022-02-14,29.5,23.9,1.4,17.4
2022-02-15,29.2,24.0,0.6,19.5
